      1 | twitter  | earthquake | NoWarNow2011           |  2360 | 23 oct #court battle over an #italian #earthquake has sent shock waves rippling through scientific circles http://t.co/paltwkpt #eq #italy  
     18 | twitter  | earthquake | tanyadeerio            |   466 | rt @newearthquake: 5.1 earthquake, central east pacific rise. nov 7 10:46 at epicenter (16m ago, depth 10km). http://t.co/qgmu0ibv          
     19 | twitter  | earthquake | azucenagfwdknut        |     6 | am i going nuts or was that an earthquake??                                                                                                 
     20 | twitter  | earthquake | FFWeatherBot2          |    33 | 5.1 easter island-acapulco de juarez, mexico earthquake, november 07, 2012 03:46:41 http://t.co/yebybhkk #victoriabc                        
     21 | twitter  | earthquake | pagDASHasa             |    59 | *earthquake drill bell rings*pag-asa: ahh! ano yun..*moments later*ay may drill.. sarado windows!*after all*tayo lang pala yung nagsara     
     22 | twitter  | earthquake | GEMNOW                 |   559 | japan's youth "wants to work for ourselves." after  9.0 earthquake &amp;loss of life, the biggest risk is not doing something you really... 
     23 | twitter  | earthquake | Matured_Goddess        |    21 | what did the ground say to the earthquake?                                                                                                  
     24 | twitter  | earthquake | 1D_Brother             |  2564 | did i just felt an earthquake or....                                                                                                        
     25 | twitter  | earthquake | EverythingElse4        |    27 | rt @newearthquake: 5.1 earthquake, central east pacific rise. nov 7 10:46 at epicenter (16m ago, depth 10km). http://t.co/qgmu0ibv          
     26 | twitter  | earthquake | Melton_                |   171 | i love labrinth, but if there was an earthquake i'm not sure i would throw bombs on it.                                                     
     27 | twitter  | earthquake | equakea                |  1277 | #earthquake: m 1.1, long valley area, california http://t.co/ma3asvre                                                                       
     28 | twitter  | earthquake | equakea                |  1277 | #earthquake: m 1.0, northern california http://t.co/znmdtbtl                                                                                
     29 | twitter  | earthquake | equakea                |  1277 | #earthquake: m 1.4, central alaska http://t.co/pwbasstn                                                                                     
     30 | twitter  | earthquake | equakea                |  1277 | #earthquake: m 1.7, central california http://t.co/mmjp3kri                                                                                 
     31 | twitter  | earthquake | equakea                |  1277 | #earthquake: m 1.3, central california http://t.co/z21lvqum                                                                                 
     32 | twitter  | earthquake | StarkTower65           |   194 | i was waitin for obama's victory speech,as he showed up 2talk,an earthquake started here...i've been sittin in the park since ("~")         
     33 | twitter  | earthquake | CustomG_KP5            |   518 | big botty judy love the way she shake it. drop it to the floor go earthquake it. :)                                                         
     34 | twitter  | earthquake | AGI_Italy_News         |   997 | government defeat in committee over earthquake funds: (agi) - rome, nov. 7 - the government suffered another def... http://t.co/gttfacf6    
     35 | twitter  | earthquake | sue2255                |    46 | rt @nazilk1: ooooh god.earthquake in tabriz again.i was at school.oooh god help us pls.                                                     
     36 | twitter  | earthquake | AGI_Italy_News         |   997 | government defeat in committee over earthquake funds: (agi) - rome, nov. 7 - the government suffered another def... http://t.co/98iwd2la    
     37 | twitter  | earthquake | jakartastreet          |   137 | usgsearthquake:m 5.1, central east pacific rise | http://t.co/sd53kwzs | #earthquake                                                        
     38 | twitter  | earthquake | zbandali               |   282 | rt @reuters: magnitude 5.5 earthquake hits iran, usgs reports http://t.co/mphfpfnk                                                          
     39 | twitter  | earthquake | Senaidaxfltr           |    10 | india to hold international workshop on 'building a regional framework for earthquake risk management' http://t.co/tz4jfl0d                 
     40 | twitter  | earthquake | lukornet_scienc        | 10692 | m5.5 earthquake hit northern iran: view the article\u2019s original source author: chillymanjaro earthquake m5.5 hit ... http://t.co/ydyunjps
     41 | twitter  | earthquake | news_az                |  1574 | iran earthquake felt in armenia  http://t.co/fpnca75s #armenia                                                                              
     42 | twitter  | earthquake | MonicaSiow             |     3 | *phone vibrates at home* barely hear it. - *phone vibrates at school* f*cking earthquake.                                                   
     43 | twitter  | gempa bumi | Azunyan_ANRP           |    59 | @keion_club gempa bumi :3                                                                                                                   
     44 | twitter  | terremot | nassif                 |   363 | palavras de lula (aos brasileiros dignos):  "n\xe3o tem geada, n\xe3o tem terremoto, n\xe3o tem cara feia.\u2026 http://t.co/qct7qok4       
     45 | twitter  | earthquake | fotofacade             |  4947 | @robinbrittain would survive an earthquake but not a kids party                                                                             
     46 | twitter  | earthquake | sarscamp               |   258 | rt @newearthquake: 5.1 earthquake, central east pacific rise. nov 7 10:46 at epicenter (16m ago, depth 10km). http://t.co/qgmu0ibv          
     47 | twitter  | gempa bumi | nindanurafifa          |   219 | rt @wowsalahgaul: *dikelas* "anak-anak, apa yang harus kita lakukan saat gempa bumi?" | update status buuu... | "....." #salahgaul          
     48 | twitter  | terremot | HoracioHoyosR          |    73 | @laurikings @anacaroquiroga miren como la gente ayud\xf3 a construir el mapa de puerto pr\xedncipe despu\xe9s del terremoto http://t.co/mtljfyl6
     49 | twitter  | earthquake | worldhazards           |   664 | #earthquake m 5.1, central east pacific rise: november 07, 2012 10:46:41 gmt http://t.co/byxsxsju                                           
     50 | twitter  | earthquake | TeamZackyV             |  1440 | rt @davidmdraiman: hope everyone is alright; magnitude 5.5 earthquake hits iran, usgs reports - yahoo! news http://t.co/pjchzryb via @ya ...
     51 | twitter  | earthquake | hail_E_hoffmann        |   157 | earthquake, sandy, now obama and elizabeth warren? maybe the world really is ending #itwasniceknowingyouall                                 
     52 | twitter  | earthquake | LighthouseForum        |   117 | earthquakes south america and carribean \u2022 earthquake - m5.1 central east pacific rise http://t.co/y5agwquu                             
     53 | twitter  | earthquake | Haywoodjablomi         |   383 | magnitude 5.5 earthquake hits iran, usgs reports http://t.co/ajwcm084                                                                       
     54 | twitter  | earthquake | TodoTiempo             |  1968 | #temblor\u2668 m 5.1, central east pacific rise http://t.co/bnnkltr4 #earthquake #sismo                                                     
     55 | twitter  | earthquake | rozsyX                 |   259 | #earthquake magnitude\xa0\xa0ml 3.6region\xa0\xa0eastern turkeydate time\xa0\xa02012-11-07   10:39:50.0 utclocation\xa0\xa038.75 n ; 43.... http://t.co/qrherrku
     56 | twitter  | earthquake | rozsyX                 |   259 | #earthquake magnitude\xa0\xa0ml 2.3region\xa0\xa0dodecanese islands, greecedate time\xa0\xa02012-11-06   20:05:37.0 utclocation\xa0\xa03... http://t.co/zkmelj4t
     57 | twitter  | earthquake | rozsyX                 |   259 | #earthquake magnitude\xa0\xa0ml 3.4region\xa0\xa0antofagasta, chiledate time\xa0\xa02012-11-07   10:40:24.0 utclocation\xa0\xa023.89 s ;... http://t.co/azv1zg1i
     58 | twitter  | earthquake | rozsyX                 |   259 | #earthquake magnitude\xa0\xa0mb 5.1region\xa0\xa0central east pacific risedate time\xa0\xa02012-11-07   10:46:41.2 utclocation\xa0\xa08.... http://t.co/pcjjubgq
     59 | twitter  | earthquake | RosadyF                |    13 | #earthquake magnitude\xa0\xa0ml 3.6region\xa0\xa0eastern turkeydate time\xa0\xa02012-11-07   10:39:50.0 utclocation\xa0\xa038.75 n ; 43.... http://t.co/6tpvz8cz
     60 | twitter  | earthquake | rozsyX                 |   259 | #earthquake magnitude\xa0\xa0mb 4.5region\xa0\xa0central east pacific risedate time\xa0\xa02012-11-07   10:26:01.0 utclocation\xa0\xa09.... http://t.co/omoqizcl
     61 | twitter  | earthquake | RosadyF                |    13 | #earthquake magnitude\xa0\xa0ml 2.3region\xa0\xa0dodecanese islands, greecedate time\xa0\xa02012-11-06   20:05:37.0 utclocation\xa0\xa03... http://t.co/6qk2dun7
     62 | twitter  | earthquake | RosadyF                |    13 | #earthquake magnitude\xa0\xa0ml 3.4region\xa0\xa0antofagasta, chiledate time\xa0\xa02012-11-07   10:40:24.0 utclocation\xa0\xa023.89 s ;... http://t.co/vobhjt69
     63 | twitter  | earthquake | RosadyF                |    13 | #earthquake magnitude\xa0\xa0mb 5.1region\xa0\xa0central east pacific risedate time\xa0\xa02012-11-07   10:46:41.2 utclocation\xa0\xa08.... http://t.co/sbfop9lk
     64 | twitter  | earthquake | RosadyF                |    13 | #earthquake magnitude\xa0\xa0mb 4.5region\xa0\xa0central east pacific risedate time\xa0\xa02012-11-07   10:26:01.0 utclocation\xa0\xa09.... http://t.co/fstituts
     65 | twitter  | earthquake | BiebsJunaStyles        |  1541 | @1d_brother where is it? we also felt an earthquake for like 2 or 3 secs, the day before yesterday                                          
     66 | twitter  | deprem   | HurriyetPlanet         | 23726 | iran'\u0131n bat\u0131s\u0131nda 5.1 b\xfcy\xfckl\xfckl\xfc\u011f\xfcnde deprem http://t.co/tc3dzrhh                                        
     67 | twitter  | earthquake | cnstimes               |   454 | india to host east asia-india workshop on earthquake http://t.co/woiq69pj by cnstimes                                                       
     68 | twitter  | earthquake | SweetLiamP             |  2606 | rt @isupportjusteen: #prayforcanada 7.7 earthquake hit them.                                                                                
     69 | twitter  | earthquake | SHUTTLECOCK74          |   552 | rt @reuters: magnitude 5.5 earthquake hits iran, usgs reports http://t.co/mphfpfnk                                                          
     70 | twitter  | gempa bumi | keion_club             |   415 | rt @azunyan_anrp: @keion_club gempa bumi :3                                                                                                 
     71 | twitter  | earthquake | hilfertyt              |     8 | hurricane, earthquake, and now nor' easter with a major snow effect in the same week!  time to go to confession!                            
     72 | twitter  | earthquake | SabrinaDzalman         |   638 | scientificly i actually afraid of mother nature .... thunderstorm , tsunami , earthquake something like that :\\                            
     73 | twitter  | gempa bumi | BadrulHazim98          |   152 | rasa macam ada gempa bumi lah..                                                                                                             
     74 | twitter  | gempa bumi | leonsinanu             |   366 | "@ratu_behel: "org laen kalo sms aku cuma hp nya yg geter kalo kamu yg sms, jiwa raga aku gempa bumi""                                      
     75 | twitter  | earthquake | MammieYoung            |     2 | there was the big earthquake in japan the day before yesterday. at that time i was in my office,we were startled at the force of the quake. 
     76 | twitter  | earthquake | bishophn               |     9 | wait so the earthquake has to hit is new zealand for rapture to happen. thats stupid i like new zealand! :)                                 
     77 | twitter  | earthquake | seismicupdate          |  1198 | #usgs m 4.6, central east pacific rise http://t.co/hsc3379w #earthquake                                                                     
     78 | twitter  | earthquake | QuakeReportIntl        |   250 | #earthquake m 1.7, central california http://t.co/dvomtqkt                                                                                  
     79 | twitter  | earthquake | seismicupdate          |  1198 | #usgs m 5.1, central east pacific rise http://t.co/nlh2r9sr #earthquake                                                                     
     80 | twitter  | gempa bumi | itsmejosuasamo         |   451 | keren,badai,tsunami,gempa bumi (y) rt @cindysitorus: new ava ? gimna keren kah ?                                                            
     81 | twitter  | gempa bumi | ItsutshuKane           |    47 | @nabilahjkt48 jangan penasaran,seberapa mengerikan kak ve itu? dia punya kekuatan gempa bumi ya?                                            
     82 | twitter  | earthquake | QuakeReportIntl        |   250 | #earthquake m 1.3, central california http://t.co/xok7vajk                                                                                  
     83 | twitter  | earthquake | _ramosgab              |   284 | @curlypigga okay. wag ka tatalon ah? baka mag earthquake =))))                                                                              
     84 | twitter  | earthquake | trihendri              |   243 | earthquake info: m 5.1, central east pacific rise: wednesday, november 07, 2012 10:46:41 utcwednesday, november ... http://t.co/e4ln0fso    
     85 | twitter  | earthquake | TechZader              | 39213 | #earthquake of m 4.6, central east pacific rise http://t.co/67gojfmf                                                                        
     86 | twitter  | earthquake | TechZader              | 39213 | #earthquake of m 5.1, central east pacific rise http://t.co/wyh0yv1u                                                                        
     87 | twitter  | earthquake | HannahAdSmith          |   299 | @team_idle been listening to earthquake on repeat for 5k!                                                                                   
     88 | twitter  | earthquake | EarthQuake_id          |    46 | earthquake with m 4.6, central east pacific rise http://t.co/inzsqzem #usgs                                                                 
     89 | twitter  | earthquake | EarthQuake_id          |    46 | earthquake with m 5.1, central east pacific rise http://t.co/trqdanzh #usgs                                                                 
     90 | twitter  | earthquake | Disaster_Update        |   320 | #earthquake# m 5.1, central east pacific rise: wednesday, november 07, 2012 10:46:41 utcwednesday, november 07, ... http://t.co/uzpg0bto    
     91 | twitter  | earthquake | Majidovokovic          |   757 | rt @toastandbanana: 5.5 earthquake in iran today. keep them in your prayers, insha'allah                                                    
     92 | twitter  | terremot | cubanoscope            |  1685 | #cuba poderoso terremoto en el sur de yemen - la voz de rusia http://t.co/lhepecvs                                                          
     93 | twitter  | earthquake | DeathValleyLily        |    86 | rt @newearthquake: 5.1 earthquake, central east pacific rise. nov 7 10:46 at epicenter (16m ago, depth 10km). http://t.co/qgmu0ibv          
     94 | twitter  | gempa bumi | Likaaanuraini          |    67 | au apaan? rt"@fakhri84588549: @slvroctvn @likaaanuraini kece apaa kece badai tsunami longsor gempa bumi yaa :d hahaha"                      
     95 | twitter  | earthquake | niibruce               |    28 | no earthquake nothing and then building just collapses,did someone push it down?                                                            
     96 | twitter  | earthquake | LeaseEthically         |   540 | rt @jimbo456: real state developers on tokyo are securing a 100% leasing from companies moving 4 earthquake saver building, &amp;investo ...
     97 | twitter  | earthquake | alionca                |   469 | i was sleeping and i heard i huge noise! i thought it was a freaking earthquake omg. my neighbors are saying it was a bomb :s               
     98 | twitter  | earthquake | collenekda             |     8 | she helped that organization hand out hundreds of hearing aids to those still devastated by last year's earthquake.                         
     99 | twitter  | gempa bumi | aryanda_               |  1293 | rt @veerlydwitaa: @bastiansteel kpan yach.. si anak yg kece badai tornado tsunami gempa bumi.. ini bles mention gwa.. -_-' #bastianb        
    100 | twitter  | earthquake | kyqueeny               |    14 | feelin' a perpetual earthquake. anyone?                                                                                                     
    101 | twitter  | earthquake | rajzgill4              |   126 | might have an earthquake today. me n @kabirsd planning go gurdwara                                                                          
    102 | twitter  | gempa bumi | ajrrn                  |   934 | @nurmsyith persebaran gunung api dan gempa bumi. send ke email gue malem ini. asap.                                                         
    103 | twitter  | earthquake | Gimikzdaboi            |   263 | this melcom thing looks really bad on tv...luks like we jst experienced an earthquake..hw da f*ck does a building jst collapse??            
    104 | twitter  | earthquake | OfficialElyada         |   115 | \u03d3\xf0\u03c5 shaking like an earthquake..&lt;.&lt; wew.                                                                                 
    105 | twitter  | earthquake | earthquake_jp          | 960032 | \uff3b\u6c17\u8c61\u5e81\u60c5\u5831\uff3d07\u65e5\u300020\u664222\u5206\u9803\u3000\u9577\u5d0e\u770c\u5357\u897f\u90e8\uff08n32.9/e130\uff09\u306b\u3066\u3000\u6700\u5927\u9707\u5ea61\uff08m2.3\uff09\u306e\u5730\u9707\u304c\u767a\u751f\u3002\u3000\u9707\u6e90\u306e\u6df1\u3055\u306f10km\u3002( http://t.co/ye5oc3h4 ) #saigai #jishin #earthquake
    106 | twitter  | earthquake | GapaniG                |    96 | rt @nestays13: no matter d weight of elephant e no fit cause earthquake                                                                     
    107 | twitter  | gempa bumi | MuhdMuadz              |   129 | confirm! tidur 'mati' pastu silent phone. mmg gempa bumi pon tak dgr la kan jemahh                                                          
    108 | twitter  | earthquake | BobbyHindustani        |   599 | india to host east asia-india workshop on earthquake: new delhi, nov 7 (ians) india will play host to an interna... http://t.co/6fwntycs    
    109 | twitter  | earthquake | FunkyFlamingo_         |   222 | going to be a big big earthquake in japan or new zeland within the next month or so. all the evidence is there... #myprediction             
    110 | twitter  | earthquake | FunkyFlamingo_         |   222 | going to be a big big earthquake in japan or new zealand within the next month or so. all the evidence is there... #myprediction            
    111 | twitter  | terremot | sismos_dot_cl          | 15557 | 35 km al o de ollag\xe3\xbce http://t.co/sfl6lvj2 #terremoto #temblor  #sismos #chile #sismo                                                
    112 | twitter  | earthquake | ashishpanchal14        |   488 | real-time, worldwide earthquake details m 5.1, central east pacific rise - wed, 07 nov 2012 10:46:41 gmt  http://t.co/9jqq1qmd              
    113 | twitter  | gempa bumi | comatewonogiri         |    11 | kak @naufalazhar_  yg kece badai gempa bumi, sapa kita dong :)                                                                              
    114 | twitter  | ziemi    | go4x                   |   359 | eurodolar cofa si\u0119. s\u0142absze dane z eurolandu i niemiec sprowadzaj\u0105 eurusd na ziemi\u0119. kurs ok. 1,2820. po porannym skoku zosta\u0142o niewiele.
    115 | twitter  | earthquake | gaby_haughx            |   150 | note to sexually frustrated boy behind me: stop shaking your leg and get a nosh #earthquake #groundstrembling                               
    116 | twitter  | terremot | bqeg                   | 32745 | t\xf4 que nem predio p\xf3s-terremoto. coluna fodida.                                                                                       
    117 | twitter  | earthquake | FunkyFlamingo_         |   222 | 4.6 earthquake in japan, 3 earthquakes in indonesia in the past 2 weeks, the plates are moving! it's going to happen #isoundlikeacrazyperson
    118 | twitter  | earthquake | DTNCommonWealth        |  1817 | dtn delhi 2010: india to hold international workshop on 'building a regional framework for earthquake risk manag... http://t.co/z1oe28av    
    119 | twitter  | earthquake | tumbril                |   249 | tasha schmelzle liked chile earthquake 2012: magnitude-6.5 temblor prompts authorities to evacuate stretch of\u2026 http://t.co/pfcruf9r    
    120 | twitter  | earthquake | REAL_SLIMshady5        |    44 | rt @hail_e_hoffmann: earthquake, sandy, now obama and elizabeth warren? maybe the world really is ending #itwasniceknowingyouall            
    121 | twitter  | earthquake | Org9                   | 13757 | #earthquake m 5.1, central east pacific rise: wednesday, november 07, 2012 10:46:41 utcwedn... http://t.co/z52rmkvp #usgs #canvost #smem    
    122 | twitter  | earthquake | FRAMMER66              |   231 | rt @occpal: forgot to mention #israel propagated to having restructured the drill to an earthquake drill. well see previous pictures.       
    123 | twitter  | earthquake | quakereporter          |   194 | #earthquake m 5.1, central east pacific rise: november 07, 2012 10:46:41 gmt http://t.co/h3knytep                                           
    124 | twitter  | earthquake | HarlowWeather          |   408 | earthquake detected: m 5.1, central east pacific rise http://t.co/n7wg9gal #fb                                                              
    125 | twitter  | earthquake | gcmcEarthquake         |    46 | #earthquake m 5.1, central east pacific rise http://t.co/cnzkspfm #crisismanagement                                                         
    126 | twitter  | ziemi    | HiroeAFC               |   249 | w sumie to mi to wisi kto wygra\u0142 wybory. jeden kandydat do zdobywca pokojowego nobla, kt\xf3ry w ka\u017cdym zak\u0105tku ziemi prowadzi wojn\u0119, a drugi
    127 | twitter  | earthquake | ArizonaNewsnet         | 10214 | usgs earthquake: m 5.1, central east pacific rise http://t.co/4x2ie44c                                                                      
    128 | twitter  | earthquake | emergcoalition         |   169 | earthquake alert: m 5.1, central east pacific rise: november 07, 2012 10:46:41 gmt http://t.co/qtj1cm6k                                     
    129 | twitter  | earthquake | terremotolive          |  8695 | \xfaltimo sismo m 5.1, central east pacific rise: wednesday, november  7, 2012 10:46:41 utcwed... http://t.co/2oqiatpe #earthquake #temblor 
    130 | twitter  | earthquake | gabricmb               |     6 | rt @persia_max_news: magnitude 5.5 earthquake hits iran, usgs reports http://t.co/njhvr3jp rt reuters #iran                                 
    131 | twitter  | earthquake | NYinGreen              |   503 | magnitude 5.5 earthquake hits iran usgs reports http://t.co/eony7lb8 #iranelection                                                          
    132 | twitter  | earthquake | IranianThreat          |   121 | magnitude 5.5 earthquake hits iran usgs reports: iran says they have the best buildings in the world becau... http://t.co/yjobngsw #iran    
    133 | twitter  | earthquake | shidkid84              |   139 | rt @reuters: magnitude 5.5 earthquake hits iran, usgs reports http://t.co/mphfpfnk                                                          
    134 | twitter  | earthquake | cnstimes               |   455 | cnstimes: india to host east asia-india workshop on earthquake http://t.co/ieskdfxv                                                         
    135 | twitter  | terremot | JuliaBalbilla          |    65 | rt @theonlyparmesan: a 5 mesi dal #terremoto, il parmigiano reggiano torna a casa! http://t.co/h5vf5oma http://t.co/ughd54wy                
    136 | twitter  | earthquake | aramra                 |   752 | rt @newearthquake: 5.1 earthquake, central east pacific rise. nov 7 10:46 at epicenter (16m ago, depth 10km). http://t.co/qgmu0ibv          
    137 | twitter  | earthquake | Real_CaraO             |   286 | rt @pagdashasa: *earthquake drill bell rings*pag-asa: ahh! ano yun..*moments later*ay may drill.. sarado windows!*after all*tayo la ...     
    138 | twitter  | terremot | jonkrans               |   622 | rt @theonlyparmesan: a 5 mesi dal #terremoto, il parmigiano reggiano torna a casa! http://t.co/h5vf5oma http://t.co/ughd54wy                
    139 | twitter  | earthquake | rumutySteez            |    40 | #np earthquake.....amazing sound effects!!!!tjo tjo                                                                                         
    140 | twitter  | gempa bumi | idruesgandi            |     4 | @willywijayanti bkax gtu non takutx gempa bumi lau ketawa ......                                                                            
    141 | twitter  | earthquake | shoeshies              |   846 | how to survive urban disaster scenarios: earthquake, hurricane, power outages, #ebook  http://t.co/pz8g1uv3                                 
    142 | twitter  | gempa bumi | isabellamunthe         |   380 | gempa bumi.                                                                                                                                 
    143 | twitter  | earthquake | gswsyndicate           |  6757 | how to survive urban disaster scenarios: earthquake, hurricane, power outages, #ebook  http://t.co/yikhfbkg                                 
    144 | twitter  | earthquake | LTCartoons             |  4281 | how to survive urban disaster scenarios: earthquake, hurricane, power outages, #ebook  http://t.co/ug9vlyzb                                 
    145 | twitter  | earthquake | RickLondonGreen        |  3137 | how to survive urban disaster scenarios: earthquake, hurricane, power outages, #ebook  http://t.co/hz5cokbv                                 
    146 | twitter  | terremot | alionca                |   469 | @miry9 fue el sonido mas fuerte q haya escuchado (aparte del terremoto de hace a\xf1os) :s yo estaba durmiendo y me desperte lista para correr!
    147 | twitter  | earthquake | QuoteGifts             |  4042 | how to survive urban disaster scenarios: earthquake, hurricane, power outages, #ebook  http://t.co/8iyfnfxx                                 
    148 | twitter  | earthquake | sunnahussain           |   177 | rt @toastandbanana: 5.5 earthquake in iran today. keep them in your prayers, insha'allah                                                    
    149 | twitter  | earthquake | timoxmp                |   145 | besok bakal ada d will, roadrunner, beardsanity, dan earthquake di arena nba.                                                               
    150 | twitter  | earthquake | quakealerts            |   629 | #earthquake m 5.1, central east pacific rise: november 07, 2012 10:46:41 gmt http://t.co/ddxt28da #alert                                    
    151 | twitter  | earthquake | quakedater             |    87 | new earthquake: m 5.1, central east pacific rise: november 07, 2012 10:46:41 gmt http://t.co/8lgo5abu                                       
    152 | twitter  | gempa bumi | HafizBustomi           |   246 | maksud nya ? gempa bumi ? gaje nian -_- rt @miraa_aza: hafizbustomi earth quake                                                             
    153 | twitter  | gempa bumi | _ronaa_                |   230 | syahrizka :* rt @aziida_hashella: cetar membahana, badai halilintar petir, gempa bumi, tsunami, tanah longsor= kiamat rt @_ronaa_: frustasi 
    154 | twitter  | earthquake | CommonBro              |   125 | remains of tsunami victims given to wrong families: the remains of at least nine people who were killed in the japanese earthquake an...    
    155 | twitter  | earthquake | Potatoey               |  1149 | so i felt my house shake, and i thought it was an earthquake or some shit but i look outside and there's a garbrage truck toppled over ok   
    156 | twitter  | earthquake | Iketotan               |    57 | earthquake: m 1.8, northern
