      1 | twitter  | earthquake | annwwaarrr             |   131 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     45 | twitter  | terremot | lamononeurona          |   509 | @zanderplatz hubo??? no puede ser! siempre me pierdo los temblores/terremoto :(                                                             
     46 | twitter  | gempa bumi | anispaejahh            |   956 | rase macam gempa bumi je perut aku. argh saaaakiiit ;(                                                                                      
     47 | twitter  | earthquake | winslowprot            |    33 | earthquake, really??                                                                                                                        
     48 | twitter  | earthquake | kulak_HAF              |   305 | rt @smoneyboner: i have a feeling an earthquake is gonna happen soon. if it does, you'll think i'm psychic. if it doesn't, you'll forget ...
     49 | twitter  | earthquake | chrislav14             |    80 | so we get an earthquake, hurricane and now an ice storm? bring it all on!                                                                   
     50 | twitter  | earthquake | buckeyeblog            |  2113 | i wouldn't want to be a kasich staffer today. i imagine that office looks like an earthquake hit a starbucks.                               
     51 | twitter  | earthquake | YungginSlim91          |    66 | @beauty_beyond21 dude can i get sum brownies nd a earthquake cake gahhhh leeee                                                              
     52 | twitter  | erdbeben | flew72                 |     1 | ifttt recipe by sindrewimberger: erdbeben in wien umgebung http://t.co/vzs9hazd                                                             
     53 | twitter  | earthquake | LvinLimz               |   309 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     54 | twitter  | earthquake | thatgirlsophie_        |  1335 | rt @shitmcflydo: earthquake judgement spot on. ran straight to the door. didn't even put clothes on. #shitmcflydo                           
     55 | twitter  | earthquake | thatgirlsophie_        |  1335 | rt @shitmcflydo: does the opposite thing you're supposed to do during an earthquake. goes into the lift. #shitmcflydo                       
     56 | twitter  | earthquake | DanielleEBowers        |   937 | splitting wood before this snowstorm hits tonight. an earthquake, hurricane and now a nor'easter?  mother nature this is uncalled for.      
     57 | twitter  | earthquake | iamkumbre              |   681 | "@dsamyvellu: #firsttimeimet rosmah... i thought an earthquake was happening. then i realisd it was juz rosmah running." lol bodos la ds ni!
     58 | twitter  | earthquake | dmyatt904              |    16 | earthquake                                                                                                                                  
     59 | twitter  | gempa bumi | CiciUcci               |   213 | gak sekalian tuh ka tsunami kebakaran gempa bumi tanahlongsor haha:d"@fannytrn: pengen angin topan jg kali yah dek biar rambutnya acak2kan  
     60 | twitter  | earthquake | EarthAlerts            |  1198 | #earthquake: m 3.5 - south-america bolivia [potos\ufffd] villa alota: preliminary earthquake report:date/time: 07... http://t.co/3onhed8w   
     61 | twitter  | earthquake | EarthAlerts            |  1198 | #earthquake: m 4.2 - south-america chile [coquimbo] ovalle: preliminary earthquake report:date/time: 07.11.2... http://t.co/h4yremah        
     62 | twitter  | earthquake | ShangNan520            |   115 | @cr4zu faulting? that one is you jump down! so will cause earthquake first then faulting occur :o dangerous!!                               
     63 | twitter  | earthquake | Official_Roz           |   135 | rt @justjohnson_: hurricane lastweek snowstorm this week nextweek will probably b an earthquake &amp; if im stillalive i can ride da tor ...
     64 | twitter  | terremot | ledpineapple           |   944 | "acho que a xbacontina desbanca tudo essas cantora (tambem, \xe9 s\xf3 ela pisar no ch\xe3o que faz um terremoto pra derrubar t0d4xx -n)" crying
     65 | twitter  | earthquake | Note4Short             |   193 | rt @luminati88: there it is! its a celebration bitches! rt @metatronanonymo: magnitude 5.5 earthquake hits northwest #iran                  
     66 | twitter  | earthquake | ilhamiejohar           |   122 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     67 | twitter  | earthquake | EdJoyce                |  4725 | rt @reuters: magnitude 5.5 earthquake hits iran, usgs reports http://t.co/mphfpfnk                                                          
     68 | twitter  | earthquake | OppressedUS            |   845 | @mtsuneishi :and here i thought it would have been an earthquake that destroyed ca- nah-just a bunch of liberals- saw that coming.          
     69 | twitter  | earthquake | TiffaniSchwab          |  2011 | have you ever experienced an earthquake?: pot racks have you ever experienced an earthquake? i hadn \u2019t until today. w http://t.co/hixsdans
     70 | twitter  | earthquake | JohnnnWheeler17        |   341 | earthquake remix #nowplaying                                                                                                                
     71 | twitter  | earthquake | Nadia_Nabil            |   627 | rt @iamkumbre: "@dsamyvellu: #firsttimeimet rosmah... i thought an earthquake was happening. then i realisd it was juz rosmah running."  ...
     72 | twitter  | earthquake | ChanYatMun             |   537 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     73 | twitter  | earthquake | SCREAM_BRE_DIOR        |    29 | mr.earthquake                                                                                                                               
     74 | twitter  | earthquake | sieberfever4           |   153 | tornado hurricane earthquake and now a blizzard? what the hell...starting to believe in the mayan calendar #notreally #butstill             
     75 | twitter  | earthquake | nazel_undercava        |    61 | rt @joselyn_dumas: was there an earthquake? how can a fortified building collapse like that? just watching tv3 and its so sad how we put ...
     76 | twitter  | earthquake | Following9             |  7097 | small earthquake in canada felt locally - the adirondack daily enterprise http://t.co/pokvudyo                                              
     77 | twitter  | earthquake | rxchxltxn              |   569 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     78 | twitter  | terremot | thuintter              |   181 | pra ver que "ga\xfacho passa perto de terremoto" n\xe3o \xe9 coisa s\xf3 de ga\xfacho http://t.co/uwrba2wm                                  
     79 | twitter  | earthquake | VisalachiKK            |   134 | \u201c@dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.\u201d hahaha (y)
     80 | twitter  | earthquake | rlreid316              |   120 | it's 11am and it sounds like there's an earthquake above us. what are these guys doing?!!                                                   
     81 | twitter  | earthquake | RazanImran             |   322 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     82 | twitter  | earthquake | EnlightenPapers        |   302 | the 2009 l\u2019aquila mw 6.3 earthquake: a new technique to locate the hypocentre in the joint inversion of earthqua... http://t.co/k7onhspb
     83 | twitter  | earthquake | ItsNurNatasha          |   132 | "@dsamyvellu: #firsttimeimet rosmah... i thought an earthquake was happening. then i realised it was just rosmah running."                  
     84 | twitter  | earthquake | Fathinaimaaan          |   154 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     85 | twitter  | earthquake | fatinfatihahhhh        |   191 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     86 | twitter  | ziemi    | pszymankiewicz         |    17 | bardzo jestem ciekawy tej aplikacji. spore oczekiwania, kt\xf3re obawiam si\u0119, microsoft zr\xf3wna z ziemi\u0105... http://t.co/z4rzs3rx via @verge
     87 | twitter  | erdbeben | updtr_alex             |    32 | new ifttt recipe || sindrewimberger: erdbeben in wien umgebung http://t.co/nqmtn8vp                                                         
     88 | twitter  | earthquake | Latona87               |   126 | rt @corradomastro: l'aquila congratulates @barackobama, but still waits for what he promised after the #earthquake! http://t.co/jqe2lxms ...
     89 | twitter  | earthquake | tinyflashdancer        |    71 | rt @blakepowersar: @tinyflashdancer looks like a tropical earthquake blew through here or something.                                        
     90 | twitter  | earthquake | sianiparheber          |   363 | #np the used - earthquake                                                                                                                   
     91 | twitter  | earthquake | MissLaurenz            |    79 | dafuq is fiesta earthquake?? kalo pake itu jadi berasa gempa gitu?? \U0001f631\U0001f631\U0001f631                                          
     92 | twitter  | ziemi    | gl_wielkopolski        |   359 | jest pi\u0119\u0107 wariant\xf3w przebudowy ronda rataje w poznaniu. wybierz najlepszy!: tramwaj pod ziemi\u0105, a samochody g\xf3r\u0105... http://t.co/metjmo2n
     93 | twitter  | earthquake | ShakingEarth           |  4782 | earthquake ! m 4.6 near east coast of honshu, japan http://t.co/3btpgib0                                                                    
     94 | twitter  | earthquake | BradGallagher4         |     2 | earthquakert if you felt an #earthquake                                                                                                     
     95 | twitter  | earthquake | karvei                 |   114 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     96 | twitter  | gempa bumi | NFatimahsyuhada        |   489 | nik kalau dah tidur memang tak ingat dunia -.-'' gempa bumi pun dia buat don't know je                                                      
     97 | twitter  | earthquake | lzhiliang              |    78 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
     98 | twitter  | earthquake | alexivanoff2810        |   132 | earthquake, irene, sandy, now legal marijuana. world is officially ending!                                                                  
     99 | twitter  | earthquake | amt6249                |    63 | @tomtomorrow husbands company is in conn., we live in cal. he always tells me they seem to believe it's one constant earthquake here. haha. 
    100 | twitter  | earthquake | m_Apat                 |    81 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
    101 | twitter  | earthquake | EdemSays               |   327 | @rice_master_ii earthquake sef no pai, the building just sugar.                                                                             
    102 | twitter  | earthquake | CorrinaLawson          |  1649 | @lkhiggi hmm..earthquake. aha. now i have another power to give a psychic. :)                                                               
    103 | twitter  | deprem   | imgeleme               |   360 | @irfankurudirek te\u015fek\xfcrler..:) ben daha kitab\u0131 alamad\u0131m, ama bu hafta i\xe7inde almay\u0131 umuyorum.. ilk f\u0131rsatta deprem dede'yi okuyaca\u011f\u0131m.:)
    104 | twitter  | earthquake | jasonsully21           |    61 | rt @richieponz: that earthquake was crazy!!!!! http://t.co/jgihjrgq                                                                         
    105 | twitter  | earthquake | AmrZkra                |   330 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
    106 | twitter  | erdbeben | IFTTTRecipe            |     5 | erdbeben in wien umgebung @ http://t.co/5vjblxbo                                                                                            
    107 | twitter  | earthquake | EarthquakeTest         |   957 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just ros... http://t.co/yn14ddhy      
    108 | twitter  | earthquake | EarthquakeTest         |   957 | @rice_master_ii earthquake sef no pai, the building just sugar.rt @edemsays: @rice_master_ii earthquake sef no p... http://t.co/ttoayw40    
    109 | twitter  | earthquake | EarthquakeTest         |   957 | @lkhiggi hmm..earthquake. aha. now i have another power to give a psychic. :)rt @corrinalawson: @lkhiggi hmm..ea... http://t.co/7t3nyxqv    
    110 | twitter  | earthquake | EarthquakeTest         |   957 | labrinth 'earthquake': bands in transit: http://t.co/ymowjs0nrt @jlbprod: labrinth 'earthquake': bands in transi... http://t.co/fxnyapet    
    111 | twitter  | earthquake | geostuff               |  5869 | small earthquake in canada felt locally - the adirondack daily enterprise: the adirondack daily enterprisesmall ... http://t.co/jhwe3kil    
    112 | twitter  | earthquake | DaysieGarcia           |   255 | like an earthquake or something                                                                                                             
    113 | twitter  | earthquake | BudakMikrofon          |   417 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
    114 | twitter  | earthquake | Recent_Quakes          |   238 | earthquake - m 4.6, near east coast of honshu, japan: 2012-11-07 15:17:14 36.86 141.81 28 km m http://t.co/qvubp1xy                         
    115 | twitter  | earthquake | AzreennR               |   931 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
    116 | twitter  | earthquake | KokoroComplex          |    21 | photoset: therefore in fierce tempest is he coming, in thunder and in earthquake, like a jove http://t.co/8q0qhjaw                          
    117 | twitter  | earthquake | xoxoNikki3             |   178 | @cjames_72 we've had a hurricane, earthquake &amp; now rain mixed w|snow all within 2 weeks..it's somethin                                  
    118 | twitter  | earthquake | MissFluffy101          |    78 | rt @6toocute9: starstruck january 19th inside vlounge featuring platinum sound, tnt styles and live from miami....earthquake internation ...
    119 | twitter  | earthquake | Skylnn_Rene            |   216 | be careful how you touch me my body is a earthquake                                                                                         
    120 | twitter  | earthquake | RadiateLlove           |  3445 | i hate having class in the 3rd floor. it scares the shit out of me. what there's an earthquake? d: i'm scare of heights                     
    121 | twitter  | earthquake | thaitvnews             | 13299 | earthquake - m 4.6, near east coast of honshu, japan: 2012-11-07 15:17:14  36.86   141.81    28 km    m http://t.co/gkrftery                
    122 | twitter  | deprem   | larisafenerli17        |    48 | @tevfikyazgan benim her yerim sorunlu ya defolu mal gibiyim dun gece yataktan f\u0131rlad\u0131m deprem oluyor diye kulaktan dolay\u0131 o da herhalde
    123 | twitter  | earthquake | TdotRegina             |   201 | there's a backhoe operating in the lot beside our building, which is shaking like a mini earthquake.                                        
    124 | twitter  | earthquake | WaterWired             |  3488 | rt @geostuff small earthquake in canada felt locally. http://t.co/sfkawhlz                                                                  
    125 | twitter  | earthquake | ashishpanchal14        |   489 | real-time, worldwide earthquake details m 4.1, queen charlotte islands, canada region - wed, 07 nov 2012 15:04:23 gmt  http://t.co/pshwjceu 
    126 | twitter  | earthquake | tperry411              |     2 | small earthquake strikes new jersey http://t.co/cnolk1i9 via @livescience                                                                   
    127 | twitter  | earthquake | News_Discussion        |  1670 | 4.5 earthquake hits near yorba linda - join talk at: http://t.co/hdqc6lwu                                                                   
    128 | twitter  | earthquake | EarthquakeTrap         |   191 | eastern u.s. earthquakes pack strong punch - study http://t.co/ucduq3wo #earthquake #quake                                                  
    129 | twitter  | earthquake | fikrisaman             |   144 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
    130 | twitter  | earthquake | YoPaulieNJ             |  1610 | @pookisama we should name every weather event. every geologic event. makes it easier to blame "earthquake todd"                             
    131 | twitter  | earthquake | QuakesToday            |   909 | 4.1 magnitude earthquake. queen charlotte islands, canada region. details @ http://t.co/rgxgfixa                                            
    132 | twitter  | earthquake | debbyrachman           |   149 | rt @shakingearth: earthquake ! m 4.6 near east coast of honshu, japan http://t.co/3btpgib0                                                  
    133 | twitter  | gempa bumi | Fellycious_Bks_        |  1715 | hai minraw yg kece badaiii topan angin gempa bumi gng mltus  sunami heree                                                                   
    134 | twitter  | earthquake | earthshook             |  2163 | 2.9 md earthquake occurred at 7 nov 2012 14:16:08 utc, 87 km nne of carrizales, pr. http://t.co/0ugfojol                                    
    135 | twitter  | earthquake | QuakeReports           | 37874 | earthquake: m 4.1, queen charlotte islands, canada region http://t.co/eqhchrrv                                                              
    136 | twitter  | earthquake | quakealerts            |   629 | #earthquake m 4.1, queen charlotte islands, canada region: november 07, 2012 15:04:23 gmt http://t.co/z4lscews #alert                       
    137 | twitter  | earthquake | quakedater             |    87 | new earthquake: m 4.1, queen charlotte islands, canada region: november 07, 2012 15:04:23 gmt http://t.co/el7ktsta                          
    138 | twitter  | earthquake | Grogan_x               |   175 | omg @sarahmalexo just asked if the earthquake in america has happened yet.. #facepalm #hurricanesandy                                       
    139 | twitter  | terremot | saldetupantalla        |   443 | aunque hubiese pasado el hurac\xe1n silvya o un terremoto voy igual por mi entrada de @letsbonuscl y #letsbonusteregalarobertplant          
    140 | twitter  | gempa bumi | wahyubran              |   545 | barack obama dulu dilahirkan di pengungsian waktu ada gempa bumi. istrinya triak2 "barak e obah mas, barak e obah mas" trus dinamain gitu :d
    141 | twitter  | earthquake | cosmologyg             |    35 | my heart goes out to all those affected by the recent earthquake and tsunami disasters in japan...                                          
    142 | twitter  | earthquake | earthshook             |  2163 | 2.9 ml earthquake occurred at 7 nov 2012 08:31:34 utc, 16 km s of st. george, ut. http://t.co/pbjmysvv                                      
    143 | twitter  | earthquake | MrSlapYourself         |  9749 | rt @lorraine_star: that nigga beyonce talking about her humatarian shit all year. did she help the earthquake victims?                      
    144 | twitter  | earthquake | KenikaNJ               |    12 | who knew?  nov. 5th, 1:19 a.m. new jersey earthquake, with a magnitude of 2.0, was centered 2 miles south-southeast of ringwood, n.j.       
    145 | twitter  | erdbeben | ifttwow                |   251 | new ifttt recipe from sindrewimberger! erdbeben in wien umgebung http://t.co/ryh8egcn                                                       
    146 | twitter  | gempa bumi | sikambingbiru          |   195 | rt @ipkcumlaude: hypocenter = parameter atau titik pusat gempa bumi di bawah permukaan bumi di mana energi gempa dilepaskan #geologi        
    147 | twitter  | deprem   | naztansik              |   157 | eger deprem olmadiysa odamin ciddi bir sorunu var.                                                                                          
    148 | twitter  | earthquake | TodoTiempo             |  1966 | #temblor\u2668 m 2.9, 86km n of arecibo, puerto rico http://t.co/zacnjrc4 #earthquake #sismo                                                
    149 | twitter  | earthquake | TodoTiempo             |  1966 | #temblor\u2668 m 2.9, 16km s of saint george, utah http://t.co/9x3gswjx #earthquake #sismo                                                  
    150 | twitter  | earthquake | Maja_Castro            |   335 | rt @pauljohnkun: earthquake again                                                                                                           
    151 | twitter  | earthquake | QuakeSOS               |  2034 | earthquake ! #pastday m 2.9, puerto rico region http://t.co/ajpsqpxm                                                                        
    152 | twitter  | earthquake | QuakeSOS               |  2034 | earthquake ! #pastday m 4.1, queen charlotte islands, canada region http://t.co/og3bthm1                                                    
    153 | twitter  | earthquake | shuhana_syafika        |   590 | rt @dsamyvellu: #firsttimeimet rosmah...i thought an earthquake was happening. then i realised it was just rosmah running.                  
    154 | twitter  | earthquake | Rice_Master_II         |   176 | a shock \xbbrt @edemsays: @rice_master_ii earthquake sef no pai, the building just sugar.                                                   
    155 | twitter  | earthquake | earthquakesfeed        |  4358 | earthquake news: magnitude 5.5 earthquake hits iran, usgs reports - reuters: panarmenian.netmagnitude 5.5 earthq... http://t.co/xip76pdb    
    156 | twitter  | earthquake | earthquakesfeed        |  4358 | earthquake news: india to host east asia-india workshop on earthquake - new york daily news: india to host east ... http://t.co/hreeiz1i    
    157 | twitter  | earthquake | earthquakesfeed        |  4358 | earthquake news: small earthquake in canada felt locally - the adirondack daily enterprise: the adirondack daily... http://t.co/ncam0lmq    
    158 | twitter  | earthquake | SeismicTweeter         |   146 | rt @quakereports: earthquake: m 4.1, queen charlotte islands, canada region http://t.co/eqhchrrv                                            
    159 | twitter  | earthquake | Doxiemomma87           |    53 | rt @bradgallagher4: earthquakert if you felt an #earthquake                                                                                 
    160 | twitter  | earthquake | GhTog                  |   730 | @blackstarsfan @nas009  fui, what have you been smoking? did we have an earthquake last night?                                              
    161 | twitter  | earthquake | ClaireKEYNews          |   429 | a 4.2-magnitude earthquake was reported wednesday morning in the pacific ocean about 140 miles off the coast of oregon and california. @ap  
    162 | twitter  | earthquake | KEY3News               |   553 | a 4.2-magnitude earthquake was reported wednesday morning in the pacific ocean about 140 miles off the coast of oregon and california. @ap  
    163 | twitter  | earthquake | DavidKEYNews           |   230 | a 4.2-magnitude earthquake was reported wednesday morning in the pacific ocean about 140 miles off the coast of oregon and california. @ap  
    164 | twitter  | earthquake | eqmon                  |   666 | 2.9 - puerto rico region (north america) - 07/11/12  09:16:08 est  depth: 35 km (21.75 mi) http://t.co/deiapp9m #hmrd #quake #earthquake    
    165 | twitter  | earthquake | 7ContinentsNews        |    23 | new zealand earthquake aftermath : christchurch red-zone demolitions to accelerate http://t.co/ntrueyjd http://t.co/1b4eip1u                
    166 | twitter  | earthquake | Latestquake            |   664 | earthquake m 2.9, puerto rico region: november 07, 2012 14:16:08 gmt                                                                        
    167 | twitter  | earthquake | Latestquake            |   664 | earthquake m 4.1, queen charlotte islands, canada region: november 07, 2012 15:04:23 gmt                                                    
    168 | twitter  | earthquake | TCF_Telegraph          |   901 | rt @quakereports: earthquake: m 4.1, queen charlotte islands, canada region http://t.co/eqhchrrv                                            
    169 | twitter  | earthquake | anointing              |   716 | there was a massive earthquake and tsunami in the spirit last night, it will be followed by the physical soon america.                      
    170 | twitter  | earthquake | bmav36                 |    56 | lil wayne earthquake official dirty version youtube http://t.co/antmglee                                                                    
    171 | twitter  | earthquake | equakea                |  1276 | #earthquake: (gmt) m 4.6, near east coast of honshu, japan http://t.co/7kxhahro                                                             
    172 | twitter  | earthquake | DaphneLoh              |   266 | earthquake only happen in my room. :{                                                                                                       
    173 | twitter  | gempa bumi | NadyaRifaniP           |   643 | rt @ipkcumlaude: hypocenter = parameter atau titik pusat gempa bumi di bawah permukaan bumi di mana energi gempa dilepaskan #geologi        
    174 | twitter  | earthquake | ness__x                |   330 | earthquake bitch.                                                                                                                           
    175 | twitter  | earthquake | ChristchurchQKE        |    24 | hall gets earthquake pass mark - http://t.co/f8qkadup: hall gets earthquake pass markstuff.co.nzeven before the c... http://t.co/dbtqzudj   
    176 | twitter  | earthquake | LisaWooldridge         |   253 | rt @reuters: magnitude 5.5 earthquake hits iran, usgs reports http://t.co/mphfpfnk                                                          
    177 | twitter  | earthquake | ricmoc1919             |    18 | @boblorenz go back to your roots... mix in an earthquake                                                                                    
    178 | twitter  | terremot | LauraAcosta26          |   683 | 6.- prefieres morir en un terremoto o a causa de un zombi? ninguno de los 2                                                                 
    179 | twitter  | earthquake | fatihahjoe             |    97 | "@dsamyvellu: #firsttimeimet rosmah... i thought an earthquake was happening. then i realised it was just rosmah running." haha.            
    180 | twitter  | earthquake | dotheroaar             |   133 | rt @lorraine_star: that nigga beyonce talking about her humatarian shit all year. did she help the earthquake victims?                      
    181 | twitter  | gempa bumi | djatmikoadjie          |    90 | pekok!! hahaa rt @wahyubran: barack obama dulu dilahirkan di pengungsian waktu ada gempa bumi. istrinya triak2 ... http://t.co/deukjh5o     
    182 | twitter  | earthquake | chaichra               |   152 | to the people working on the house since 8 am, it feels live i have been living through a constant earthquake. #makeitstop                  
    183 | twitter  | earthquake | 12go4all               |   849 | new yorkers received tweets about an east coast earthquake 30 seconds before they felt it  http://t.co/wmkq90yi #socialnomics               
